id,nom_original,llengua_nom_original,nom_altra_llengua,data_inici,dia_setmana_inici,data_fi,hora_inici,hora_fi,lloc,adreca,municipi,zona_cerca,comarca,categoria,llengua_esdeveniment,descripcio_original,llengua_descripcio,url_cartell,organitzador,preu,url_reserva,url_font,data_publicacio_font,data_acces,citacio_literal,confirmacio_2026,estat_vitalitat,nivell_confianca,clau_dedup,motiu_null
2026-01-01-prades-grand-marche,GRAND MARCHÉ DE PRADES — tous les mardis matin,fr,null,2026-01-01,jeudi,2026-12-31,08:00,13:00,Place de la République,"Place de la République, 66500 Prades",Prades / Prada,Conflent,Conflent,market,null,"Tous les mardis matin et pendant toute l’année, participez au célèbre marché de Prades. Un des plus grands du département. Gastronomie, vestimentaire, idées cadeaux, produits locaux et du terroir.",fr,null,null,null,null,https://www.tourisme-canigo.com/agenda/grand-marche-de-prades-fmalar066v52utm8/,null — official Conflent Canigó event page shows no publication/update date,2026-08-19,"Du 01/01/26 au 31/12/26

Mardi : 08h00 à 13h00

Tous les mardis matin et pendant toute l’année, participez au célèbre marché de Prades.","Current official Conflent Canigó event page explicitly publishes 1 January–31 December 2026 and every Tuesday 08:00–13:00 at Place de la République. It is one stated weekly series, modelled once for its full published range rather than as individual September–November dates. Source accessed 2026-08-19.","confirmat — liveness checked 2026-08-19: current official Tourism page remains live; French/Catalan cancellation, postponement, closure and time-change queries returned no series-specific status exception.",A,2026-01-01-prades-grand-marche,"{""data_publicacio_font"": ""official page shows no publication/update date"", ""llengua_esdeveniment"": ""source does not state event language(s)"", ""nom_altra_llengua"": ""no separately verified published Catalan title recovered"", ""organitzador"": ""source does not name an organiser"", ""preu"": ""source does not publish an admission/participation price"", ""recurrence"": ""one row for explicit every-Tuesday recurrence; target-window occurrences 1 Sep–24 Nov 2026"", ""url_cartell"": ""page exposes no direct poster asset URL"", ""url_reserva"": ""source provides no booking URL"", ""window_overlap"": ""full annual explicit recurrence overlaps target window; full source-published range retained""}"
2026-01-15-et-la-lumiere-fut-perpignan,ET LA LUMIÈRE FUT !,fr,null,2026-01-15,jeudi,2026-12-31,11:00,17:30,CASA PAIRAL - CASTILLET,null,Perpinyà / Perpignan,Rosselló,Rosselló,exhibition,null,"L’histoire de l’humanité atteste, depuis « que la lumière fut », du caractère essentiel de cette contribution de l’éclairage à l’avancée du monde.  
  
De nos jours, l’électricité a pris une telle place dans notre vie quotidienne qu’il est difficile d’imaginer la vie sans elle.",fr,https://www.mairie-perpignan.fr/sites/default/files/styles/originale/public/images/expo-et-la-lumiere-fut-2026.jpg?itok=NW_W1X76,null,"Plein tarif : 2,00 €; tarif réduit : 0,00 € (gratuit pour les moins de 26 ans.)",null,https://www.mairie-perpignan.fr/fetes-et-manifestations/et-la-lumiere-fut,null,2026-08-19,"15 janvier au 31 décembre 2026
  
🕖 Tous les jours du 15 janvier au 31 mai 2026 de 11h à 17h30
Tous les jours du 1 juin au 30 septembre 2026 de 10h30 à 18h30
Tous les jours du 1 octobre au 31 décembre 2026 de 11h à 17h30

CASA PAIRAL - CASTILLET
66000 PERPIGNAN",Official Ville de Perpignan agenda entry expressly dates ET LA LUMIÈRE FUT ! from 15 January to 31 December 2026; page shows no publication or last-update date; accessed 2026-08-19.,"confirmat — liveness checked 2026-08-19: the official municipal page displays the 2026 exhibition and no annulé, reporté, complet or déplacé notice.",A,2026-01-15-perpignan-et-la-lumiere,"{""adreca"": ""official municipal page gives venue name and 66000 Perpignan but no street-level address"", ""data_publicacio_font"": ""official municipal page shows no publication or last-update date"", ""hora_inici_hora_fi"": ""The recorded 11:00–17:30 are the official target-window hours from 1 October to 31 December 2026; the source publishes different hours before 1 October."", ""llengua_esdeveniment"": ""official municipal page does not state the exhibition language"", ""nom_altra_llengua"": ""no sourced published Catalan translation"", ""organitzador"": ""official municipal page does not identify a named organiser"", ""url_reserva"": ""official municipal page publishes no booking or specific information URL""}"
2026-04-18-troubadours-roussillonnais-belesta,TROUBADOURS ROUSSILLONNAIS,fr,null,2026-04-18,samedi,2026-12-30,14:00,19:00,Château musée de Bélesta,"5 rue du château, 66720 Bélesta",Bélesta,Fenolleda,Rosselló,exhibition,fr,"""Troubadours Roussillonnais - Traits d'union entre Catalans et Occitans"" est au cœur du Château-Musée de Préhistoire de Bélesta.
Cette très belle exposition vous attend à partir d' Avril jusqu'à fin Décembre 2026.
Elle vous emmènera dans l’univers des troubadours roussillonnais qui racontaient en chantant en occitan des légendes ou des histoires de fin’amour, entre chevaliers et belles dames. Objets, parchemins, châteaux et sites archéologiques évoquent cette époque bien présente dans notre imaginaire contemporain. L’artiste peintre roussillonnais Antoine Noetinger, illustre l’exposition par des œuvres inspirées de l’iconographie médiévale de l’exposition, suivant son thème de prédilection habituel : les chevaliers du Moyen Âge catalan et ses troubadours.""",fr,https://static.neopse.com/medias/p/801/site/8b/28/c7/8b28c7d859b71ebb4fb34c8da5bc81fa854d8ef6.jpg?v=v1,Musée de Bélesta / Château-Musée de Préhistoire de Bélesta,"Plein tarif 5,50 €; tarif réduit 4,50 €",null,https://www.tourisme-pyreneesorientales.com/agenda/troubadours-roussillonnais-belesta-fr-6274421/,null,2026-08-19,"Du 18 avril 2026 au 15 juin 2026
Du 15 juin 2026 au 14 septembre 2026
Du 15 septembre 2026 au 30 décembre 2026

Château musée, 5 rue du château, Bélesta

Lundi 14:00 - 19:00
Mardi Fermé
Mercredi 14:00 - 19:00
Jeudi 14:00 - 19:00
Vendredi 14:00 - 19:00
Samedi Fermé
Dimanche 14:00 - 19:00","The official Pyrénées-Orientales tourism agenda expressly dates the exhibition from 18 April to 30 December 2026 and separately lists the 15 September–30 December 2026 target-window schedule; page shows no publication or last-update date; accessed 2026-08-19. The Musée de Bélesta’s official exhibition page independently identifies the exhibition, museum and 2026 poster.","confirmat — liveness checked 2026-08-19: the official departmental tourism, Agly Tourism and museum pages each display the planned 2026 exhibition; targeted searches for annulée, reportée and fermeture found no cancellation, postponement, closure or move notice.",A,2026-04-18-belesta-troubadours-roussillonnais,"{""data_publicacio_font"": ""official departmental tourism page and official museum exhibition page show no publication or last-update date"", ""hora_inici_hora_fi"": ""14:00–19:00 are the official target-window hours. The departmental listing also specifies target-window closure on Tuesday and Saturday; its alternate Agly listing has a contradictory Saturday open/closed text, so no unsupported weekday assertion is added outside the literal evidence."", ""nom_altra_llengua"": ""no sourced published Catalan translation"", ""url_reserva"": ""official departmental tourism page supplies a contact form and telephone but no booking or reservation URL""}"
2026-05-09-cal-mateu-40-ans-collections-sainte-leocadie,"EXPOSITION 40 ANS DE COLLECTIONS ""DE LA POUSSIÈRE À LA LUMIÈRE""- MUSÉE DE CERDAGNE",fr,null,2026-05-09,samedi,2026-10-31,null,null,Musée de Cerdagne - Ferme Cal Mateu,"1 Avenue Cal Mateu, 66800 Sainte-Léocadie",Sainte-Léocadie,Alta Cerdanya,Cerdanya,exhibition,null,"Exposition temporaire  
De la poussière à la lumière : 40 ans de trésors cerdans  
(9 mai 2026 - 31 octobre 2026)  
Bienvenue à l'exposition anniversaire de la ferme Cal Mateu !  
Depuis 40 ans, le Musée de Cerdagne œuvre dans l’ombre pour recueillir, protéger et étudier les fragments de notre histoire commune. Aujourd'hui, nous sortons de nos réserves des objets exceptionnels pour vous raconter une aventure unique : celle de la transformation du quotidien en patrimoine. Comment un objet du quotidien devient-il un trésor public ? Ce parcours immersif sous forme de scénettes invite les visiteurs à suivre le cycle de vie des objets, de leur acquisition à leur mise en valeur dans les vitrines.",fr,https://api.cloudly.space/resize/crop/1200/627/60/aHR0cHM6Ly9jZHQ2Ni5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9FWFBPLU1EQy5qcGc=/image.jpg,Musée de Cerdagne - Ferme Cal Mateu,Tarif plein 7 €; tarif réduit 5 € (jeunes 11/18 ans); tarif enfant 4 € (jeunes 7/10 ans),null,https://www.pyrenees-cerdagne.com/planifier/activites/agenda/exposition-40-ans-de-collections-de-la-poussiere-a-la-lumiere-musee-de-cerdagne-6418838,null — official page shows no publication or last-update date,2026-08-19,"Exposition temporaire  
De la poussière à la lumière : 40 ans de trésors cerdans  
(9 mai 2026 - 31 octobre 2026)  
Bienvenue à l'exposition anniversaire de la ferme Cal Mateu !","The official Pyrénées-Cerdagne event detail page explicitly states `(9 mai 2026 - 31 octobre 2026)` and lists the 2026 tariffs/address. The public organiser-issued `Dépliant Musée De Cerdagne 2026`, published by Musée de Cerdagne on 2026-02-21 at https://www.calameo.com/read/007004164e493bf285c3c, states on page 7: `Cal Mateu : 40 ans de collections` and `09 mai - 31 octobre 2026`. Both sources were accessed 2026-08-19.","confirmat — liveness checked 2026-08-19: the current official detail page displays `A lieu Aujourd'hui` and its 9 May–31 October 2026 range; targeted annulée/fermeture/reportée searches yielded no event-level cancellation, postponement, relocation or early-closure notice. A June heat-closure notice was identified as historical and ended 27 June 2026, before the target window. The organiser programme separately records annual museum closure 2 November–3 December 2026, after the stated exhibition end.",A,2026-05-09-sainte-leocadie-exposition-40-ans,"{""data_publicacio_font"": ""official detail page displays no publication or last-update date; the independently organiser-published programme date is retained in confirmacio_2026"", ""hora_fi"": ""official event page and museum 2026 programme publish date range and public hours but no event end time for the final day"", ""hora_inici"": ""official event page and museum 2026 programme publish date range and public hours but no exhibition opening time for the first day"", ""llengua_esdeveniment"": ""source materials are French but do not explicitly state the exhibition-language field"", ""nom_altra_llengua"": ""no sourced published Catalan title version found"", ""url_reserva"": ""official detail page offers an email contact but no online booking or reservation URL""}"
2026-05-11-terre-mer-coeur-argeles,"LA TERRE ET LA MER, AVEC LE COEUR",fr,null,2026-05-11,lundi,2027-01-03,null,null,Place Gambetta,"Place Gambetta, 66700 Argelès-sur-Mer",Argelès-sur-Mer / Argelers,Rosselló,Rosselló,exhibition,null,"Cette exposition photographique met en lumière les agriculteurs, éleveurs, pêcheurs, viticulteurs et artisans argelésiens. Des portraits captivants, réalisés par le photo-journaliste Stéphane Ferrer Yulianti, qui nous plongent dans le quotidien de ces femmes et hommes, qui font vivre notre terroir et consacrent tant d’énergie et de passion à donner du contenu à nos assiettes. Chaque portrait apporte un regard sur ces professions exigeantes marquées par le rythme des saisons, le changement climatique, la relation étroite avec la Biodiversité. Ces clichés révèlent la diversité des visages, des gestes et des savoir-faire de ces acteurs, souvent méconnus mais dont le rôle est essentiel.",fr,null,null,gratuit,null,https://www.ville-argelessurmer.fr/s-informer/agenda-complet/la-terre-et-la-mer-avec-le-coeur,2026-05-11 — current municipality search result publication metadata,2026-08-19,"Du 11/05/2026 au 03/01/2027

Place Gambetta
66700, ARGELES-SUR-MER

Gratuit pour tous","The current official Mairie d’Argelès-sur-Mer event detail explicitly publishes 11 May 2026–3 January 2027, Place Gambetta and free admission. It therefore overlaps the full 1 September–30 November target window; the actual source-published start/end range is retained rather than truncating it to the research window. The municipal search result supplies publication metadata 2026-05-11. Source accessed 2026-08-19.","confirmat — liveness checked 2026-08-19: current municipal detail remains live; French/Catalan cancellation, postponement, closure and date-change queries returned no exhibition-specific status exception.",A,2026-05-11-argeles-terre-mer-coeur,"{""hora_fi"": ""municipal source publishes no opening hours"", ""hora_inici"": ""municipal source publishes no opening hours"", ""llengua_esdeveniment"": ""source does not state event language(s)"", ""nom_altra_llengua"": ""no sourced published Catalan event-title version recovered"", ""organitzador"": ""municipal page names photographer but no organiser"", ""url_cartell"": ""municipal page exposes no direct dated poster URL"", ""url_reserva"": ""source provides no booking URL"", ""window_overlap"": ""event begins before and ends after target window; original published full range is retained""}"
2026-05-20-prades-festival-nature,FESTIVAL NATURE,fr,null,2026-05-20,mercredi,2026-10-09,null,null,9 Rue de Mahou,"9 Rue de Mahou, 66500 Prades",Prades / Prada,Conflent,Conflent,nature festival,null,"Festival Nature des réserves naturelles catalanes, le rendez-vous BIODIVERSITE des Pyrénées-Orientales. De la mer à la montagne, tous les ans, de mai à octobre, la nature est à l’honneur dans les Pyrénées-Orientales avec le Festival Nature des réserves naturelles catalanes.",fr,null,Réserves naturelles catalanes,gratuit,null,https://www.tourisme-pyreneesorientales.com/agenda/festival-nature-prades-fr-6598126/,null — official Departmental Tourism event page shows no publication/update date,2026-08-19,"Du 20 mai 2026 au 9 octobre 2026

Entrée gratuite

Festival Nature des réserves naturelles catalanes, le rendez-vous BIODIVERSITE des Pyrénées-Orientales.","Current official Departmental Tourism event detail explicitly publishes 20 May–9 October 2026, 9 Rue de Mahou, Prades, free entry, Réserves naturelles catalanes contact and direct 2026 programme PDF. One festival row retains full published range; individual programme sessions are not separately added unless Prades-specific and independently verified. Source accessed 2026-08-19.","confirmat — liveness checked 2026-08-19: current official Tourism page remains live; French/Catalan cancellation, postponement, closure and time-change queries returned no festival-level cancellation or early end notice.",A,2026-05-20-prades-festival-nature,"{""data_publicacio_font"": ""official page shows no publication/update date"", ""hora_fi"": ""festival page publishes range but no festival-wide end time"", ""hora_inici"": ""festival page publishes range but no festival-wide start time"", ""llengua_esdeveniment"": ""source does not state festival-wide language(s)"", ""nom_altra_llengua"": ""official Catalan route exists but distinct Catalan title was not verified before extraction"", ""programme_scope"": ""source programme covers multiple localities; no individual sessions added without Prades-specific confirmation"", ""url_cartell"": ""page displays credited cover visual but exposes no direct poster asset URL"", ""url_reserva"": ""source links organiser site/programme but no festival-wide booking URL"", ""window_overlap"": ""source range begins before target window; full source-published range retained""}"
2026-05-23-les-insectes-perpignan,"LES INSECTES, UN PEUPLE PAS SI MINUSCULE",fr,null,2026-05-23,samedi,2027-03-21,11:00,17:30,MUSEUM D’HISTOIRE NATURELLE,null,Perpinyà / Perpignan,Rosselló,Rosselló,exhibition,null,"Omniprésents et pourtant méconnus, ils façonnent les écosystèmes, pollinisent, recyclent et maintiennent l’équilibre du vivant.  
  
Entre beauté, étrangeté et fragilité, cette exposition vous invite à changer de regard sur le peuple invisible qui soutient la vie sur Terre.",fr,https://www.mairie-perpignan.fr/sites/default/files/styles/originale/public/images/les-insectes--un-peuple-pas-si-minuscule.jpg?itok=1coXGuem,null,gratuit,null,https://www.mairie-perpignan.fr/fetes-et-manifestations/les-insectes-un-peuple-pas-si-minuscule,null,2026-08-19,"23 mai 2026 au 21 mars 2027
  
🕖 Tous les jours du 23 au 31 mai 2026 de 11h à 17h30
Tous les jours du 1 juin au 30 septembre 2026 de 10h30 à 18h30
Tous les jours du 1 octobre 2026 au 21 mars 2027 de 11h à 17h30

MUSEUM D’HISTOIRE NATURELLE
66000 PERPIGNAN","Official Ville de Perpignan agenda entry expressly dates LES INSECTES, UN PEUPLE PAS SI MINUSCULE from 23 May 2026 to 21 March 2027; page shows no publication or last-update date; accessed 2026-08-19.","confirmat — liveness checked 2026-08-19: the official municipal page displays the 2026–27 exhibition and no annulé, reporté, complet or déplacé notice.",A,2026-05-23-perpignan-les-insectes-un,"{""adreca"": ""official municipal page gives venue name and 66000 Perpignan but no street-level address"", ""data_publicacio_font"": ""official municipal page shows no publication or last-update date"", ""hora_inici_hora_fi"": ""The recorded 11:00–17:30 are the official target-window hours from 1 October 2026 to 21 March 2027; the source publishes different hours before 1 October."", ""llengua_esdeveniment"": ""official municipal page does not state the exhibition language"", ""nom_altra_llengua"": ""no sourced published Catalan translation"", ""organitzador"": ""official municipal page does not identify a named organiser"", ""url_reserva"": ""official municipal page publishes no booking or specific information URL""}"
2026-05-23-mythes-et-legendes-perpignan,MYTHES ET LÉGENDES,fr,null,2026-05-23,samedi,2026-12-31,13:30,18:00,MUSÉE DES MONNAIES ET MÉDAILLES JOSEPH PUIG,null,Perpinyà / Perpignan,Rosselló,Rosselló,exhibition,null,Un panorama des représentations des mythes et légendes dans les monnaies : d’Hercule au dragon de saint Georges …,fr,https://www.mairie-perpignan.fr/sites/default/files/styles/originale/public/images/musee-puig-3.jpg?itok=hUbp1msg,null,gratuit,https://www.mairie-perpignan.fr/culture-patrimoine/culture/musees/musee-des-monnaies-et-medailles-joseph-puig,https://www.mairie-perpignan.fr/fetes-et-manifestations/mythes-et-legendes,null,2026-08-19,"23 mai au 31 décembre 2026

🕖 13h30 à 18h

Mardi, Mercredi, Jeudi, Vendredi, Samedi

MUSÉE DES MONNAIES ET MÉDAILLES JOSEPH PUIG
66000 PERPIGNAN",Official Ville de Perpignan agenda entry expressly dates MYTHES ET LÉGENDES from 23 May to 31 December 2026; page shows no publication or last-update date; accessed 2026-08-19.,"confirmat — liveness checked 2026-08-19: the official municipal page displays the 2026 exhibition and no annulé, reporté, complet or déplacé notice.",A,2026-05-23-perpignan-mythes-et-legendes,"{""adreca"": ""official municipal page gives venue name and 66000 Perpignan but no street-level address"", ""data_publicacio_font"": ""official municipal page shows no publication or last-update date"", ""llengua_esdeveniment"": ""official municipal page does not state the exhibition language"", ""nom_altra_llengua"": ""no sourced published Catalan translation"", ""organitzador"": ""official municipal page does not identify a named organiser""}"
2026-06-01-couleurs-catalanes-paulilles-portvendres,EXPOSITION « COULEURS CATALANES » – SITE DE PAULILLES,fr,null,2026-06-01,lundi,2026-09-30,09:00,17:00,Site de Paulilles,"D914, 66660 Port-Vendres",Port-Vendres / Portvendres,Rosselló,Rosselló,exhibition,null,"Réalisée par les membres du Photo Club de Banyuls, cette exposition met à l’honneur la richesse des couleurs du territoire catalan. Les photographes ont parcouru le département pour capturer, à travers leurs objectifs, les couleurs emblématiques du pays catalan : Paysages, patrimoines, ambiances et détails du quotidien. Une invitation au voyage et à la découverte d’une identité forte et lumineuse.",fr,null,Photo Club de Banyuls,gratuit,null,https://www.tourisme-pyrenees-mediterranee.com/agenda/exposition-couleurs-catalanes-site-de-paulilles/,null — official tourism page shows no publication/update date,2026-08-19,"Du 1er juin au 30 septembre 2026, venez découvrir la beauté du site de Paulilles à travers d’une exposition immersive. Entrée libre.

SITE DE PAULILLES — D914 — 66660 PORT-VENDRES

Ouvert de 09h à 12h et de 14h à 17h","The current official Pyrénées Méditerranée Tourism detail explicitly publishes 1 June–30 September 2026, daily opening 09:00–12:00 and 14:00–17:00, Site de Paulilles D914 address, free entry and Photo Club de Banyuls attribution. It overlaps 1–30 September target window; original full source date range is retained rather than truncated. Source accessed 2026-08-19.","confirmat — liveness checked 2026-08-19: current official tourism and national-destination agenda pages remain live; French/Catalan cancellation, postponement, closure and time-change queries returned no exhibition-specific status exception.",A,2026-06-01-portvendres-couleurs-catalanes-paulilles,"{""daily_hours"": ""source publishes a split 09:00–12:00 / 14:00–17:00 daily schedule; structured fields retain the overall earliest/latest times"", ""data_publicacio_font"": ""official tourism page shows no publication/update date"", ""llengua_esdeveniment"": ""source describes Catalan territorial imagery but does not state activity language(s)"", ""nom_altra_llengua"": ""no separately published Catalan exhibition-title variant recovered"", ""url_cartell"": ""official page exposes photo gallery images but no direct dated poster URL"", ""url_reserva"": ""free exhibition page provides no booking route"", ""window_overlap"": ""event begins before target window and ends on target-window end; original source range is retained""}"
2026-06-08-elisabeth-eidenbenz-devoir-memoire-elne,Elisabeth Eidenbenz : un devoir de mémoire,fr,null,2026-06-08,lundi,2026-09-30,09:30,19:00,Cloître d'Elne,null,Elne,Rosselló,Rosselló,exhibition,null,"La Maternité Suisse d’Elne est actuellement fermée au public pour travaux de mise en sécurité du bâtiment et de ses alentours pour une durée d’environ 1 an et demi, à partir de janvier 2026.

Afin de maintenir l'intérêt du public pendant les travaux, une exposition retraçant l’histoire de ce lieu de mémoire est installée au Cloître d’Elne.",fr,https://ville-elne.fr/wp-content/uploads/2026/05/IMG_3207-scaled.jpg,Mairie d'Elne,null,null,https://ville-elne.fr/agenda/elisabeth-eidenbenz-un-devoir-de-memoire/,2026-05-19,2026-08-19,"8 juin 2026

30 septembre 2026

9h30 à 19h (dernière entrée : 18h)

Cloitre

Organisateur : Mairie d'Elne","The organiser municipality’s page gives the complete 8 June–30 September 2026 range, Cloître, daily 9:30–19:00 hours and Mairie d'Elne organiser. Elne’s public WordPress API returns `date: 2026-05-19T13:15:40` and `modified: 2026-06-18T08:57:07` for the exact municipal event slug. A current official Pyrénées Méditerranée tourism page at https://www.tourisme-pyrenees-mediterranee.com/agenda/exposition-elisabeth-eidenbenz-un-devoir-de-memoire/ instead lists a 12 June–30 September 2026 range and Musée Terrus, creating a source conflict with the organiser’s 8 June/Cloître entry. The municipality’s first-party detail is retained as the operative source, but the conflict is disclosed and needs a later municipal clarification. Sources accessed 2026-08-19.","confirmat amb conflicte de font — liveness checked 2026-08-19: both current official pages remain live, and targeted annulée/reportée/fermeture searches returned no exhibition cancellation, postponement, relocation or early closure. However, the municipal 8 June/Cloître data conflicts with the tourism 12 June/Musée Terrus data; recheck is mandatory before final delivery. The Maternité Suisse closure is an intentional reason for the replacement exhibition, not a cancellation.",B,2026-06-08-elne-elisabeth-eidenbenz-devoir,"{""adreca"": ""official municipal event page gives the Cloître venue but no street address"", ""asset_type"": ""official municipal page displays this direct 2026 event-associated image, but does not label it explicitly as a poster"", ""cross_source_conflict"": ""The official municipality lists 8 June–30 September at Cloître d’Elne, while official tourism lists 12 June–30 September at Musée Terrus. First-party municipal data is retained provisionally; final recheck required."", ""llengua_esdeveniment"": ""French source does not explicitly declare an exhibition-language field"", ""nom_altra_llengua"": ""no sourced published Catalan title version found"", ""preu"": ""official municipal page publishes no price or free-entry statement"", ""url_reserva"": ""official page provides a telephone contact but no online booking URL""}"
