id,titol,data_inici,data_fi,hora,lloc,municipi,comarca,categoria,descripcio_ca,descripcio_fr,associacio,imatge_url,font_url,estat,data_entrada
2026-01-01-el-gran-mercat-de-prada,El gran mercat de Prada,2026-01-01,2026-12-31,08:00,Place de la République,Prada,Conflent,Mercat,"Cada dimarts al matí, la plaça de la República de Prada acull un dels mercats més grans del departament. S’hi troben productes locals i de la terra, gastronomia, roba i parades d’artesania. És una cita setmanal que estructura la vida del poble durant tot l’any.","Chaque mardi matin, la place de la République de Prades accueille l’un des plus grands marchés du département. On y trouve des produits locaux et du terroir, de la gastronomie, des vêtements et des stands d’artisanat. C’est un rendez-vous hebdomadaire qui structure la vie du village toute l’année.",,https://cdt66.media.tourinsoft.eu/upload/Marche-de-Prades.png,https://www.tourisme-canigo.com/agenda/grand-marche-de-prades-fmalar066v52utm8/,pendent,2026-08-20T12:00:00Z
2026-01-15-i-la-llum-va-ser,I la llum va ser,2026-01-15,2026-12-31,11:00,CASA PAIRAL - CASTILLET,Perpinyà,Rosselló,Exposició,"La Casa Pairal del Castellet dedica una exposició a la història de l’enllumenat i al lloc que ocupa la llum en la vida quotidiana. El recorregut mostra com l’electricitat ha transformat les cases, els carrers i la manera de viure. Una mirada sobre un progrés tan present que gairebé no es veu.","La Casa Pairal du Castillet consacre une exposition à l’histoire de l’éclairage et à la place qu’occupe la lumière dans la vie quotidienne. Le parcours montre comment l’électricité a transformé les maisons, les rues et les manières de vivre. Un regard sur un progrès si présent qu’on ne le voit presque plus.",,https://www.mairie-perpignan.fr/sites/default/files/styles/originale/public/images/expo-et-la-lumiere-fut-2026.jpg?itok=NW_W1X76,https://www.mairie-perpignan.fr/fetes-et-manifestations/et-la-lumiere-fut,pendent,2026-08-20T12:00:00Z
2026-04-18-trobadors-rossellonesos,Trobadors rossellonesos,2026-04-18,2026-12-30,14:00,Château musée de Bélesta,Bellestar,Rosselló,Exposició,"El Castell-Museu de Bellestar presenta «Trobadors rossellonesos, traits d’union entre catalans i occitans». L’exposició entra al món dels trobadors que cantaven en occità llegendes i històries d’amor cortès. Un pont entre dues llengües i dues cultures veïnes.","Le Château-Musée de Bélesta présente « Troubadours roussillonnais, traits d’union entre Catalans et Occitans ». L’exposition entre dans le monde des troubadours qui chantaient en occitan des légendes et des histoires d’amour courtois. Un pont entre deux langues et deux cultures voisines.",Musée de Bélesta / Château-Musée de Préhistoire de Bélesta,https://static.neopse.com/medias/p/801/site/8b/28/c7/8b28c7d859b71ebb4fb34c8da5bc81fa854d8ef6.jpg?v=v1,https://www.tourisme-pyreneesorientales.com/agenda/troubadours-roussillonnais-belesta-fr-6274421/,pendent,2026-08-20T12:00:00Z
2026-05-09-de-la-pols-a-la-llum-40-anys-de-collecci,De la pols a la llum: 40 anys de col·leccions,2026-05-09,2026-10-31,,Musée de Cerdagne - Ferme Cal Mateu,Santa Llocaia,Cerdanya,Exposició,"El Museu de Cerdanya celebra quaranta anys de feina obrint les seves reserves. Objectes excepcionals, recollits i estudiats durant dècades, surten a la llum per explicar la història comuna de la Cerdanya. Una exposició d’aniversari a la granja de Cal Mateu.","Le Musée de Cerdagne célèbre quarante ans de travail en ouvrant ses réserves. Des objets exceptionnels, recueillis et étudiés pendant des décennies, sortent à la lumière pour raconter l’histoire commune de la Cerdagne. Une exposition anniversaire à la ferme Cal Mateu.",Musée de Cerdagne - Ferme Cal Mateu,https://api.cloudly.space/resize/crop/1200/627/60/aHR0cHM6Ly9jZHQ2Ni5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9FWFBPLU1EQy5qcGc=/image.jpg,https://www.pyrenees-cerdagne.com/planifier/activites/agenda/exposition-40-ans-de-collections-de-la-poussiere-a-la-lumiere-musee-de-cerdagne-6418838,pendent,2026-08-20T12:00:00Z
2026-05-11-la-terra-i-la-mar-amb-el-cor,"La terra i la mar, amb el cor",2026-05-11,2027-01-03,,Place Gambetta,Argelers,Rosselló,Exposició,"Una exposició fotogràfica a l’aire lliure dedicada als pagesos, ramaders, pescadors, viticultors i artesans d’Argelers. Els retrats són obra del fotoperiodista Stéphane Ferrer Yulianti i entren en el dia a dia d’aquestes dones i homes. La plaça Gambetta es converteix en galeria oberta a tothom.","Une exposition photographique en plein air consacrée aux agriculteurs, éleveurs, pêcheurs, viticulteurs et artisans argelésiens. Les portraits sont l’œuvre du photojournaliste Stéphane Ferrer Yulianti et entrent dans le quotidien de ces femmes et de ces hommes. La place Gambetta devient une galerie ouverte à tous.",,,https://www.ville-argelessurmer.fr/s-informer/agenda-complet/la-terre-et-la-mer-avec-le-coeur,pendent,2026-08-20T12:00:00Z
2026-05-20-festival-natura-de-les-reserves-naturals,Festival Natura de les reserves naturals catalanes,2026-05-20,2026-10-09,,9 Rue de Mahou,Prada,Conflent,Patrimoni i tradicions,"De maig a octubre, les reserves naturals catalanes proposen la seva cita anual amb la biodiversitat. De la mar a la muntanya, el festival convida a descobrir els espais protegits dels Pirineus Orientals amb sortides i activitats. Una manera senzilla d’acostar-se a la natura del país.","De mai à octobre, les réserves naturelles catalanes proposent leur rendez-vous annuel avec la biodiversité. De la mer à la montagne, le festival invite à découvrir les espaces protégés des Pyrénées-Orientales par des sorties et des activités. Une manière simple de s’approcher de la nature du pays.",Réserves naturelles catalanes,https://cdt66.media.tourinsoft.eu/upload/couverture-festival-nature-2026.png,https://www.tourisme-pyreneesorientales.com/agenda/festival-nature-prades-fr-6598126/,pendent,2026-08-20T12:00:00Z
2026-05-23-els-insectes-un-poble-no-tan-minuscul,"Els insectes, un poble no tan minúscul",2026-05-23,2027-03-21,11:00,MUSEUM D’HISTOIRE NATURELLE,Perpinyà,Rosselló,Exposició,"El Museu d’Història Natural de Perpinyà dedica una exposició als insectes, omnipresents i tanmateix poc coneguts. Pol·linitzen, reciclen i mantenen l’equilibri del món viu. Entre bellesa, estranyesa i fragilitat, una invitació a canviar de mirada.","Le Muséum d’Histoire Naturelle de Perpignan consacre une exposition aux insectes, omniprésents et pourtant méconnus. Ils pollinisent, recyclent et maintiennent l’équilibre du vivant. Entre beauté, étrangeté et fragilité, une invitation à changer de regard.",,https://www.mairie-perpignan.fr/sites/default/files/styles/originale/public/images/les-insectes--un-peuple-pas-si-minuscule.jpg?itok=1coXGuem,https://www.mairie-perpignan.fr/fetes-et-manifestations/les-insectes-un-peuple-pas-si-minuscule,pendent,2026-08-20T12:00:00Z
2026-05-23-mites-i-llegendes,Mites i llegendes,2026-05-23,2026-12-31,13:30,MUSÉE DES MONNAIES ET MÉDAILLES JOSEPH PUIG,Perpinyà,Rosselló,Exposició,"El Museu de Monedes i Medalles Joseph Puig presenta un panorama dels mites i les llegendes representats a les monedes. D’Hèrcules al drac de sant Jordi, les peces expliquen com cada època ha volgut representar els seus relats. Entrada lliure.","Le Musée des Monnaies et Médailles Joseph Puig présente un panorama des mythes et des légendes représentés sur les monnaies. D’Hercule au dragon de saint Georges, les pièces racontent comment chaque époque a voulu représenter ses récits. Entrée libre.",,https://www.mairie-perpignan.fr/sites/default/files/styles/originale/public/images/musee-puig-3.jpg?itok=hUbp1msg,https://www.mairie-perpignan.fr/fetes-et-manifestations/mythes-et-legendes,pendent,2026-08-20T12:00:00Z
2026-06-01-colors-catalans,Colors catalans,2026-06-01,2026-09-30,09:00,Site de Paulilles,Portvendres,Rosselló,Exposició,"Els membres del Photo Club de Banyuls han recorregut el departament per captar els colors del país català. Paisatges, patrimoni, ambients i detalls del dia a dia formen aquesta exposició al lloc de Paulilles. Una invitació a mirar el territori amb calma.","Les membres du Photo Club de Banyuls ont parcouru le département pour capter les couleurs du pays catalan. Paysages, patrimoine, ambiances et détails du quotidien composent cette exposition sur le site de Paulilles. Une invitation à regarder le territoire avec calme.",Photo Club de Banyuls,https://cdn.iris-etourism.io/media/pyrenees_mediterranee_v3/FMALAR066V52WFSP/a3c003f9eb7bd416-800x520.webp,https://www.tourisme-pyrenees-mediterranee.com/agenda/exposition-couleurs-catalanes-site-de-paulilles/,pendent,2026-08-20T12:00:00Z
2026-06-08-elisabeth-eidenbenz-un-deure-de-memoria,Elisabeth Eidenbenz: un deure de memòria,2026-06-08,2026-09-30,09:30,Cloître d'Elne,Elna,Rosselló,Exposició,"La Maternitat Suïssa d’Elna és tancada per obres de seguretat durant prop d’un any i mig. Per mantenir viu aquest lloc de memòria, el Claustre d’Elna acull una exposició que repassa la seva història i la tasca d’Elisabeth Eidenbenz. Un relat d’acollida en temps de guerra.","La Maternité Suisse d’Elne est fermée pour des travaux de mise en sécurité pendant près d’un an et demi. Afin de maintenir vivant ce lieu de mémoire, le Cloître d’Elne accueille une exposition qui retrace son histoire et le travail d’Elisabeth Eidenbenz. Un récit d’accueil en temps de guerre.",Mairie d'Elne,https://ville-elne.fr/wp-content/uploads/2026/05/IMG_3207-scaled.jpg,https://ville-elne.fr/agenda/elisabeth-eidenbenz-un-devoir-de-memoire/,pendent,2026-08-20T12:00:00Z
